Category,Average Comprehensiveness Score
Finance & Business,0.4136751891316087
Science & Technology,0.4281786827070988
Software Development,0.4579773967728741
Education & Jobs,0.4226308812399672
Health,0.44273860001288123
Literature,0.40329886570566476
History,0.4396204320110796
Hardware,0.43922318495660984
Industrial,0.43614712358526464
Art & Design,0.44440094949463654
Games,0.4780193035157988
Crime & Law,0.4662426035502959
Entertainment,0.41291021757857005
Sports & Fitness,0.4228450231408997
Software,0.4808801860293778
Transportation,0.4476920117963842
Religion,0.43712121212121213
Home & Hobbies,0.43801092944730763
Travel,0.39440525881118726
Food & Dining,0.44974766070516425
Fashion & Beauty,0.4416149887848001
Social Life,0.45316456861012955
