Category,Average Insight Score
Finance & Business,0.43968087620023205
Science & Technology,0.4637233566993544
Software Development,0.45731992391476206
Education & Jobs,0.4328327178267134
Health,0.43873847132489974
Literature,0.45597731431110144
History,0.45238617820227905
Hardware,0.490679150378816
Industrial,0.4634687380974068
Art & Design,0.48448772827417375
Games,0.516246871088861
Crime & Law,0.4667785872373929
Entertainment,0.4368871120546409
Sports & Fitness,0.46466127058287776
Software,0.542156862745098
Transportation,0.4356073704490441
Religion,0.4716718374350329
Home & Hobbies,0.4420154313771335
Travel,0.40289394357526487
Food & Dining,0.42988563283196213
Fashion & Beauty,0.43634883198562446
Social Life,0.4425197408603089
