Category,Average Instruction Following Score
Finance & Business,0.5016842510132405
Science & Technology,0.4946951181221799
Software Development,0.5041000521511805
Education & Jobs,0.47948366084622823
Health,0.49485308550761803
Literature,0.42962155438977245
History,0.4831702242094471
Hardware,0.49295769210254564
Industrial,0.4918432381884591
Art & Design,0.48419834474880336
Games,0.5231156520755484
Crime & Law,0.5043114543114543
Entertainment,0.4358452719092738
Sports & Fitness,0.48684210526315785
Software,0.4854441645675902
Transportation,0.49683544303797467
Religion,0.46830985915492956
Home & Hobbies,0.5010214787493321
Travel,0.4664888682745825
Food & Dining,0.48796146555033726
Fashion & Beauty,0.4915668257464283
Social Life,0.5
