Category,Average Overall Score
Finance & Business,0.45704806031795614
Science & Technology,0.4639509540587398
Software Development,0.47400448888107194
Education & Jobs,0.4486201842580779
Health,0.4595513795236078
Literature,0.43857246793840304
History,0.4609689304073729
Hardware,0.47603263896876985
Industrial,0.4637030252433332
Art & Design,0.4750036790096665
Games,0.5036190959758875
Crime & Law,0.4759683158423955
Entertainment,0.43205054124397974
Sports & Fitness,0.45627504950923536
Software,0.5078903746926131
Transportation,0.46020136920200216
Religion,0.4595312567408717
Home & Hobbies,0.4594243980678213
Travel,0.4243729027429348
Food & Dining,0.46092805185209496
Fashion & Beauty,0.4576062004401472
Social Life,0.4674229470454804
